UF;Codigo_Infracao;Quantidade
ACRE;5002;2
ALAGOAS;5002;7
AMAZONAS;5002;152
BAHIA;5002;102
CEARA;5002;28
DISTRITO FEDERAL;5002;25
ESPIRITO SANTO;5002;70
GOIAS;5002;160
MARANHAO;5002;20
MATO GROSSO;5002;66
MATO GROSSO DO SUL;5002;191
MINAS GERAIS;5002;1751
PARA;5002;28
PARAIBA;5002;4
PARANA;5002;537
PERNAMBUCO;5002;62
PIAUI;5002;2
RIO DE JANEIRO;5002;194
RIO GRANDE DO NORTE;5002;10
RIO GRANDE DO SUL;5002;636
RONDONIA;5002;12
RORAIMA;5002;4
SANTA CATARINA;5002;358
SAO PAULO;5002;13422
SERGIPE;5002;9
TOCANTINS;5002;8
ACRE;5010;179
ALAGOAS;5010;1222
AMAZONAS;5010;673
AMAPA;5010;95
BAHIA;5010;2428
CEARA;5010;1381
DISTRITO FEDERAL;5010;474
ESPIRITO SANTO;5010;436
GOIAS;5010;769
MARANHAO;5010;530
MATO GROSSO;5010;466
MATO GROSSO DO SUL;5010;479
MINAS GERAIS;5010;22163
PARA;5010;319
PARAIBA;5010;572
PARANA;5010;813
PERNAMBUCO;5010;947
PIAUI;5010;740
RIO DE JANEIRO;5010;1047
RIO GRANDE DO NORTE;5010;783
RIO GRANDE DO SUL;5010;1101
RONDONIA;5010;406
RORAIMA;5010;344
SANTA CATARINA;5010;388
SAO PAULO;5010;1020
SERGIPE;5010;610
TOCANTINS;5010;125
ACRE;5029;10
ALAGOAS;5029;7
AMAZONAS;5029;7
BAHIA;5029;19
CEARA;5029;9
DISTRITO FEDERAL;5029;18
ESPIRITO SANTO;5029;97
GOIAS;5029;13
MARANHAO;5029;2
MATO GROSSO;5029;9
MATO GROSSO DO SUL;5029;33
MINAS GERAIS;5029;741
PARAIBA;5029;40
PARANA;5029;187
PERNAMBUCO;5029;18
PIAUI;5029;3
RIO DE JANEIRO;5029;38
RIO GRANDE DO NORTE;5029;5
RIO GRANDE DO SUL;5029;432
RONDONIA;5029;10
RORAIMA;5029;1
SANTA CATARINA;5029;55
SAO PAULO;5029;341
SERGIPE;5029;36
TOCANTINS;5029;1
ACRE;5037;9
ALAGOAS;5037;41
AMAZONAS;5037;54
AMAPA;5037;4
BAHIA;5037;130
CEARA;5037;107
DISTRITO FEDERAL;5037;35
ESPIRITO SANTO;5037;41
GOIAS;5037;78
MARANHAO;5037;32
MATO GROSSO;5037;41
MATO GROSSO DO SUL;5037;39
MINAS GERAIS;5037;1565
PARA;5037;21
PARAIBA;5037;49
PARANA;5037;86
PERNAMBUCO;5037;40
PIAUI;5037;41
RIO DE JANEIRO;5037;109
RIO GRANDE DO NORTE;5037;41
RIO GRANDE DO SUL;5037;151
RONDONIA;5037;22
RORAIMA;5037;7
SANTA CATARINA;5037;35
SAO PAULO;5037;99
SERGIPE;5037;47
TOCANTINS;5037;7
ACRE;5045;92
ALAGOAS;5045;107
AMAZONAS;5045;66
AMAPA;5045;47
BAHIA;5045;697
CEARA;5045;258
DISTRITO FEDERAL;5045;384
ESPIRITO SANTO;5045;273
GOIAS;5045;394
MARANHAO;5045;144
MATO GROSSO;5045;217
MATO GROSSO DO SUL;5045;208
MINAS GERAIS;5045;2845
PARA;5045;147
PARAIBA;5045;154
PARANA;5045;348
PERNAMBUCO;5045;232
PIAUI;5045;196
RIO DE JANEIRO;5045;362
RIO GRANDE DO NORTE;5045;176
RIO GRANDE DO SUL;5045;354
RONDONIA;5045;194
RORAIMA;5045;87
SANTA CATARINA;5045;369
SAO PAULO;5045;472
SERGIPE;5045;156
TOCANTINS;5045;66
ACRE;5053;5
ALAGOAS;5053;34
AMAZONAS;5053;38
AMAPA;5053;3
BAHIA;5053;180
CEARA;5053;152
DISTRITO FEDERAL;5053;21
ESPIRITO SANTO;5053;16
GOIAS;5053;31
MARANHAO;5053;8
MATO GROSSO;5053;41
MATO GROSSO DO SUL;5053;34
MINAS GERAIS;5053;184
PARA;5053;15
PARAIBA;5053;34
PARANA;5053;95
PERNAMBUCO;5053;62
PIAUI;5053;19
RIO DE JANEIRO;5053;59
RIO GRANDE DO NORTE;5053;37
RIO GRANDE DO SUL;5053;72
RONDONIA;5053;34
RORAIMA;5053;8
SANTA CATARINA;5053;50
SAO PAULO;5053;71
SERGIPE;5053;20
TOCANTINS;5053;4
ACRE;5061;5
ALAGOAS;5061;23
AMAZONAS;5061;9
BAHIA;5061;116
CEARA;5061;32
DISTRITO FEDERAL;5061;20
ESPIRITO SANTO;5061;23
GOIAS;5061;30
MARANHAO;5061;8
MATO GROSSO;5061;18
MATO GROSSO DO SUL;5061;15
MINAS GERAIS;5061;316
PARA;5061;20
PARAIBA;5061;20
PARANA;5061;40
PERNAMBUCO;5061;40
PIAUI;5061;15
RIO DE JANEIRO;5061;43
RIO GRANDE DO NORTE;5061;34
RIO GRANDE DO SUL;5061;28
RONDONIA;5061;10
RORAIMA;5061;11
SANTA CATARINA;5061;18
SAO PAULO;5061;35
SERGIPE;5061;23
ACRE;5070;1
ESPIRITO SANTO;5070;2
MINAS GERAIS;5070;5
PARAIBA;5070;1
PARANA;5070;3
RIO DE JANEIRO;5070;2
RIO GRANDE DO SUL;5070;36
SANTA CATARINA;5070;2
SAO PAULO;5070;14
BAHIA;5088;9
CEARA;5088;4
DISTRITO FEDERAL;5088;1
GOIAS;5088;2
MATO GROSSO;5088;3
MATO GROSSO DO SUL;5088;3
MINAS GERAIS;5088;22
PARA;5088;2
PARANA;5088;3
PIAUI;5088;3
RIO DE JANEIRO;5088;3
RIO GRANDE DO NORTE;5088;5
RIO GRANDE DO SUL;5088;9
RONDONIA;5088;2
SANTA CATARINA;5088;2
SAO PAULO;5088;3
SERGIPE;5088;2
TOCANTINS;5088;1
ALAGOAS;5096;2
