UF;Cod_Infracao;Quantidade
ACRE;5002;48
ALAGOAS;5002;105
AMAZONAS;5002;198
AMAPA;5002;31
BAHIA;5002;1262
CEARA;5002;388
DISTRITO FEDERAL;5002;855
ESPIRITO SANTO;5002;2383
GOIAS;5002;9432
MARANHAO;5002;230
MATO GROSSO;5002;1028
MATO GROSSO DO SUL;5002;2316
MINAS GERAIS;5002;48116
PARA;5002;327
PARAIBA;5002;116
PARANA;5002;75258
PERNAMBUCO;5002;631
PIAUI;5002;71
RIO DE JANEIRO;5002;75506
RIO GRANDE DO NORTE;5002;178
RIO GRANDE DO SUL;5002;7442
RONDONIA;5002;224
RORAIMA;5002;22
SANTA CATARINA;5002;15908
SAO PAULO;5002;99163
SERGIPE;5002;90
TOCANTINS;5002;138
ACRE;5010;467
ALAGOAS;5010;437
AMAZONAS;5010;543
AMAPA;5010;2342
BAHIA;5010;2571
CEARA;5010;1486
DISTRITO FEDERAL;5010;851
ESPIRITO SANTO;5010;1516
GOIAS;5010;3307
MARANHAO;5010;993
MATO GROSSO;5010;1231
MATO GROSSO DO SUL;5010;1158
MINAS GERAIS;5010;9558
PARA;5010;374
PARAIBA;5010;1196
PARANA;5010;2956
PERNAMBUCO;5010;2032
PIAUI;5010;535
RIO DE JANEIRO;5010;764
RIO GRANDE DO NORTE;5010;1311
RIO GRANDE DO SUL;5010;3229
RONDONIA;5010;738
RORAIMA;5010;330
SANTA CATARINA;5010;2837
SAO PAULO;5010;12076
SERGIPE;5010;463
TOCANTINS;5010;128
ACRE;5029;9
ALAGOAS;5029;4
AMAZONAS;5029;4
AMAPA;5029;26
BAHIA;5029;13
CEARA;5029;8
DISTRITO FEDERAL;5029;14
ESPIRITO SANTO;5029;107
GOIAS;5029;23
MARANHAO;5029;2
MATO GROSSO;5029;2
MATO GROSSO DO SUL;5029;23
MINAS GERAIS;5029;271
PARA;5029;8
PARAIBA;5029;30
PARANA;5029;170
PERNAMBUCO;5029;46
PIAUI;5029;3
RIO DE JANEIRO;5029;20
RIO GRANDE DO NORTE;5029;2
RIO GRANDE DO SUL;5029;381
RONDONIA;5029;5
RORAIMA;5029;4
SANTA CATARINA;5029;420
SAO PAULO;5029;948
SERGIPE;5029;14
TOCANTINS;5029;1
ACRE;5037;24
ALAGOAS;5037;23
AMAZONAS;5037;45
AMAPA;5037;133
BAHIA;5037;103
CEARA;5037;108
DISTRITO FEDERAL;5037;58
ESPIRITO SANTO;5037;55
GOIAS;5037;195
MARANHAO;5037;29
MATO GROSSO;5037;46
MATO GROSSO DO SUL;5037;56
MINAS GERAIS;5037;672
PARA;5037;30
PARAIBA;5037;33
PARANA;5037;166
PERNAMBUCO;5037;88
PIAUI;5037;34
RIO DE JANEIRO;5037;54
RIO GRANDE DO NORTE;5037;26
RIO GRANDE DO SUL;5037;484
RONDONIA;5037;13
RORAIMA;5037;8
SANTA CATARINA;5037;108
SAO PAULO;5037;794
SERGIPE;5037;20
TOCANTINS;5037;6
ACRE;5045;157
ALAGOAS;5045;31
AMAZONAS;5045;69
AMAPA;5045;606
BAHIA;5045;580
CEARA;5045;360
DISTRITO FEDERAL;5045;301
ESPIRITO SANTO;5045;290
GOIAS;5045;671
MARANHAO;5045;71
MATO GROSSO;5045;90
MATO GROSSO DO SUL;5045;228
MINAS GERAIS;5045;2135
PARA;5045;70
PARAIBA;5045;84
PARANA;5045;833
