UF;COD_INFRACAO;QUANTIDADE
ACRE;5002;37
ALAGOAS;5002;24
AMAZONAS;5002;15003
AMAPA;5002;7
BAHIA;5002;514
CEARA;5002;120
DISTRITO FEDERAL;5002;288
ESPIRITO SANTO;5002;496
GOIAS;5002;1216
MARANHAO;5002;68
MATO GROSSO;5002;640
MATO GROSSO DO SUL;5002;761
MINAS GERAIS;5002;14301
PARA;5002;125
PARAIBA;5002;25
PARANA;5002;6732
PERNAMBUCO;5002;199
PIAUI;5002;57
RIO DE JANEIRO;5002;1370
RIO GRANDE DO NORTE;5002;49
RIO GRANDE DO SUL;5002;5680
RONDONIA;5002;125
RORAIMA;5002;31
SANTA CATARINA;5002;13622
SAO PAULO;5002;84472
SERGIPE;5002;22
TOCANTINS;5002;70
ACRE;5010;1945
ALAGOAS;5010;2084
AMAZONAS;5010;660
AMAPA;5010;2794
BAHIA;5010;1997
CEARA;5010;958
DISTRITO FEDERAL;5010;2668
ESPIRITO SANTO;5010;1369
GOIAS;5010;1886
MARANHAO;5010;731
MATO GROSSO;5010;1192
MATO GROSSO DO SUL;5010;1160
MINAS GERAIS;5010;8011
PARA;5010;2607
PARAIBA;5010;766
PARANA;5010;2835
PERNAMBUCO;5010;2680
PIAUI;5010;291
RIO DE JANEIRO;5010;5879
RIO GRANDE DO NORTE;5010;720
RIO GRANDE DO SUL;5010;2512
RONDONIA;5010;354
RORAIMA;5010;66
SANTA CATARINA;5010;2271
SAO PAULO;5010;13190
SERGIPE;5010;438
TOCANTINS;5010;108
ACRE;5029;23
ALAGOAS;5029;15
AMAZONAS;5029;10
AMAPA;5029;32
BAHIA;5029;11
CEARA;5029;6
DISTRITO FEDERAL;5029;79
ESPIRITO SANTO;5029;128
GOIAS;5029;16
MARANHAO;5029;3
MATO GROSSO;5029;2
MATO GROSSO DO SUL;5029;30
MINAS GERAIS;5029;235
PARA;5029;8
PARAIBA;5029;8
PARANA;5029;167
PERNAMBUCO;5029;49
RIO DE JANEIRO;5029;429
RIO GRANDE DO NORTE;5029;3
RIO GRANDE DO SUL;5029;273
SANTA CATARINA;5029;332
SAO PAULO;5029;1432
SERGIPE;5029;1
ACRE;5037;58
ALAGOAS;5037;56
AMAZONAS;5037;54
AMAPA;5037;145
BAHIA;5037;78
CEARA;5037;61
DISTRITO FEDERAL;5037;120
ESPIRITO SANTO;5037;42
GOIAS;5037;141
MARANHAO;5037;27
MATO GROSSO;5037;36
MATO GROSSO DO SUL;5037;61
MINAS GERAIS;5037;653
PARA;5037;63
PARAIBA;5037;34
PARANA;5037;186
PERNAMBUCO;5037;74
PIAUI;5037;15
RIO DE JANEIRO;5037;363
RIO GRANDE DO NORTE;5037;25
RIO GRANDE DO SUL;5037;382
RONDONIA;5037;10
RORAIMA;5037;5
SANTA CATARINA;5037;103
SAO PAULO;5037;1008
SERGIPE;5037;20
TOCANTINS;5037;3
ACRE;5045;419
ALAGOAS;5045;99
AMAZONAS;5045;106
AMAPA;5045;492
BAHIA;5045;505
CEARA;5045;325
DISTRITO FEDERAL;5045;1140
ESPIRITO SANTO;5045;277
GOIAS;5045;551
MARANHAO;5045;67
MATO GROSSO;5045;105
MATO GROSSO DO SUL;5045;284
MINAS GERAIS;5045;1947
PARA;5045;265
PARAIBA;5045;80
PARANA;5045;838
PERNAMBUCO;5045;564
PIAUI;5045;40
RIO DE JANEIRO;5045;799
RIO GRANDE DO NORTE;5045;130
RIO GRANDE DO SUL;5045;677
RONDONIA;5045;62
RORAIMA;5045;17
SANTA CATARINA;5045;1196
SAO PAULO;5045;4278
SERGIPE;5045;81
TOCANTINS;5045;26
ACRE;5053;23
ALAGOAS;5053;48
AMAZONAS;5053;31
AMAPA;5053;8
BAHIA;5053;91
CEARA;5053;133
DISTRITO FEDERAL;5053;24
ESPIRITO SANTO;5053;10
GOIAS;5053;214
MARANHAO;5053;7
MATO GROSSO;5053;21
MATO GROSSO DO SUL;5053;15
MINAS GERAIS;5053;269
PARA;5053;117
PARAIBA;5053;62
PARANA;5053;64
PERNAMBUCO;5053;180
PIAUI;5053;16
RIO DE JANEIRO;5053;34
RIO GRANDE DO NORTE;5053;16
RIO GRANDE DO SUL;5053;67
RONDONIA;5053;6
SANTA CATARINA;5053;90
SAO PAULO;5053;264
SERGIPE;5053;16
TOCANTINS;5053;6
ACRE;5061;96
ALAGOAS;5061;69
AMAZONAS;5061;33
AMAPA;5061;23
BAHIA;5061;85
CEARA;5061;26
DISTRITO FEDERAL;5061;72
ESPIRITO SANTO;5061;30
GOIAS;5061;26
MARANHAO;5061;18
MATO GROSSO;5061;19
MATO GROSSO DO SUL;5061;33
MINAS GERAIS;5061;110
PARA;5061;58
PARAIBA;5061;34
PARANA;5061;65
PERNAMBUCO;5061;53
PIAUI;5061;5
RIO DE JANEIRO;5061;102
RIO GRANDE DO NORTE;5061;5
RIO GRANDE DO SUL;5061;47
RONDONIA;5061;8
RORAIMA;5061;2
SANTA CATARINA;5061;80
SAO PAULO;5061;450
SERGIPE;5061;5
TOCANTINS;5061;1
AMAZONAS;5070;1
CEARA;5070;2
ESPIRITO SANTO;5070;3
MATO GROSSO DO SUL;5070;2
MINAS GERAIS;5070;9
PARA;5070;2
PARAIBA;5070;1
PARANA;5070;21
RIO DE JANEIRO;5070;4
RIO GRANDE DO NORTE;5070;1
RIO GRANDE DO SUL;5070;8
SANTA CATARINA;5070;8
SAO PAULO;5070;56
ACRE;5088;2
ALAGOAS;5088;2
AMAZONAS;5088;2
AMAPA;5088;4
BAHIA;5088;3
CEARA;5088;6
DISTRITO FEDERAL;5088;2
ESPIRITO SANTO;5088;1
GOIAS;5088;1
MARANHAO;5088;1
MATO GROSSO;5088;2
MATO GROSSO DO SUL;5088;4
MINAS GERAIS;5088;7
PARA;5088;3
PARANA;5088;25
PERNAMBUCO;5088;1
RIO DE JANEIRO;5088;4
RIO GRANDE DO SUL;5088;8
SANTA CATARINA;5088;5
SAO PAULO;5088;24
ACRE;5096;10
ALAGOAS;5096;4
AMAZONAS;5096;1
AMAPA;5096;2
BAHIA;5096;18
CEARA;5096;29
DISTRITO FEDERAL;5096;2
ESPIRITO SANTO;5096;5
GOIAS;5096;3
MARANHAO;5096;1
MATO GROSSO DO SUL;5096;10
MINAS GERAIS;5096;31
PARA;5096;6
PARAIBA;5096;2
PARANA;5096;50
PERNAMBUCO;5096;7
PIAUI;5096;2
RIO DE JANEIRO;5096;7
RIO GRANDE DO NORTE;5096;2
RIO GRANDE DO SUL;5096;18
SANTA CATARINA;5096;49
SAO PAULO;5096;83
SERGIPE;5096;1
TOCANTINS;5096;1
AMAZONAS;5100;1
BAHIA;5100;1
CEARA;5100;6
MATO GROSSO DO SUL;5100;1
MINAS GERAIS;5100;2
PARAIBA;5100;1
PARANA;5100;2
PIAUI;5100;1
RIO GRANDE DO NORTE;5100;1
SANTA CATARINA;5100;1
SAO PAULO;5100;6
ACRE;5118;980
ALAGOAS;5118;466
AMAZONAS;5118;133
AMAPA;5118;1204
BAHIA;5118;441
CEARA;5118;593
DISTRITO FEDERAL;5118;149
ESPIRITO SANTO;5118;688
GOIAS;5118;83
MARANHAO;5118;50
MATO GROSSO;5118;94
MATO GROSSO DO SUL;5118;533
MINAS GERAIS;5118;1337
PARA;5118;513
PARAIBA;5118;194
PARANA;5118;1767
PERNAMBUCO;5118;648
PIAUI;5118;60
RIO DE JANEIRO;5118;464
RIO GRANDE DO NORTE;5118;66
RIO GRANDE DO SUL;5118;491
RONDONIA;5118;110
RORAIMA;5118;19
SANTA CATARINA;5118;1007
SAO PAULO;5118;3246
SERGIPE;5118;44
TOCANTINS;5118;20
ACRE;5126;19
ALAGOAS;5126;5
AMAZONAS;5126;1
AMAPA;5126;10
BAHIA;5126;5
CEARA;5126;3
DISTRITO FEDERAL;5126;5
ESPIRITO SANTO;5126;43
GOIAS;5126;2
MATO GROSSO;5126;2
MATO GROSSO DO SUL;5126;4
MINAS GERAIS;5126;52
PARA;5126;6
PARAIBA;5126;2
PARANA;5126;52
PERNAMBUCO;5126;2
RIO DE JANEIRO;5126;14
RIO GRANDE DO NORTE;5126;1
RIO GRANDE DO SUL;5126;41
SANTA CATARINA;5126;68
SAO PAULO;5126;336
ACRE;5134;26
ALAGOAS;5134;7
AMAZONAS;5134;1
AMAPA;5134;50
BAHIA;5134;16
CEARA;5134;36
DISTRITO FEDERAL;5134;8
ESPIRITO SANTO;5134;14
GOIAS;5134;9
MARANHAO;5134;4
MATO GROSSO;5134;4
MATO GROSSO DO SUL;5134;14
MINAS GERAIS;5134;88
PARA;5134;7
PARAIBA;5134;9
PARANA;5134;55
PERNAMBUCO;5134;10
PIAUI;5134;5
RIO DE JANEIRO;5134;25
RIO GRANDE DO NORTE;5134;6
RIO GRANDE DO SUL;5134;41
RONDONIA;5134;3
RORAIMA;5134;2
SANTA CATARINA;5134;38
SAO PAULO;5134;194
SERGIPE;5134;3
TOCANTINS;5134;1
ACRE;5142;109
ALAGOAS;5142;6
AMAZONAS;5142;6
AMAPA;5142;138
BAHIA;5142;92
CEARA;5142;177
DISTRITO FEDERAL;5142;22
ESPIRITO SANTO;5142;59
GOIAS;5142;17
MARANHAO;5142;5
MATO GROSSO;5142;6
MATO GROSSO DO SUL;5142;79
MINAS GERAIS;5142;266
PARA;5142;14
PARAIBA;5142;15
PARANA;5142;231
PERNAMBUCO;5142;52
PIAUI;5142;5
RIO DE JANEIRO;5142;26
RIO GRANDE DO NORTE;5142;8
RIO GRANDE DO SUL;5142;88
RONDONIA;5142;14
RORAIMA;5142;1
SANTA CATARINA;5142;261
SAO PAULO;5142;780
SERGIPE;5142;8
TOCANTINS;5142;2
ACRE;5150;2
AMAZONAS;5150;5
AMAPA;5150;1
BAHIA;5150;5
CEARA;5150;62
DISTRITO FEDERAL;5150;1
GOIAS;5150;3
MATO GROSSO;5150;2
MATO GROSSO DO SUL;5150;3
MINAS GERAIS;5150;40
PARA;5150;1
PARAIBA;5150;7
PARANA;5150;3
PERNAMBUCO;5150;7
PIAUI;5150;2
RIO DE JANEIRO;5150;2
RIO GRANDE DO NORTE;5150;7
RIO GRANDE DO SUL;5150;20
SANTA CATARINA;5150;8
SAO PAULO;5150;37
SERGIPE;5150;5
ACRE;5169;14
ALAGOAS;5169;121
AMAZONAS;5169;132
AMAPA;5169;455
BAHIA;5169;134
CEARA;5169;34
DISTRITO FEDERAL;5169;577
ESPIRITO SANTO;5169;119
GOIAS;5169;273
MARANHAO;5169;88
MATO GROSSO;5169;351
MATO GROSSO DO SUL;5169;241
MINAS GERAIS;5169;1753
PARA;5169;295
PARAIBA;5169;42
PARANA;5169;516
