Cod_Infracao;UF;Quantidade
5002;ACRE;11
5002;ALAGOAS;77
5002;AMAZONAS;115
5002;AMAPA;9
5002;BAHIA;269
5002;CEARA;114
5002;DISTRITO FEDERAL;210
5002;ESPIRITO SANTO;375
5002;GOIAS;797
5002;MARANHAO;95
5002;MATO GROSSO;522
5002;MATO GROSSO DO SUL;3079
5002;MINAS GERAIS;26615
5002;PARA;114
5002;PARAIBA;14
5002;PARANA;38892
5002;PERNAMBUCO;149
5002;PIAUI;28
5002;RIO DE JANEIRO;1161
5002;RIO GRANDE DO NORTE;57
5002;RIO GRANDE DO SUL;5975
5002;RONDONIA;73
5002;RORAIMA;4
5002;SANTA CATARINA;10190
5002;SAO PAULO;65953
5002;SERGIPE;33
5002;TOCANTINS;49
5010;ACRE;406
5010;ALAGOAS;783
5010;AMAZONAS;738
5010;AMAPA;475
5010;BAHIA;2170
5010;CEARA;1609
5010;DISTRITO FEDERAL;814
5010;ESPIRITO SANTO;1190
5010;GOIAS;543
5010;MARANHAO;1801
5010;MATO GROSSO;1956
5010;MATO GROSSO DO SUL;1216
5010;MINAS GERAIS;11742
5010;PARA;1196
5010;PARAIBA;643
5010;PARANA;3357
5010;PERNAMBUCO;1578
5010;PIAUI;1899
5010;RIO DE JANEIRO;1364
5010;RIO GRANDE DO NORTE;706
5010;RIO GRANDE DO SUL;2729
5010;RONDONIA;275
5010;RORAIMA;1041
5010;SANTA CATARINA;3106
5010;SAO PAULO;12417
5010;SERGIPE;434
5010;TOCANTINS;164
5029;ACRE;2
5029;ALAGOAS;9
5029;AMAZONAS;14
5029;AMAPA;1
5029;BAHIA;7
5029;CEARA;12
5029;DISTRITO FEDERAL;20
5029;ESPIRITO SANTO;86
5029;GOIAS;9
5029;MARANHAO;1
5029;MATO GROSSO;5
5029;MATO GROSSO DO SUL;72
5029;MINAS GERAIS;350
5029;PARA;3
5029;PARAIBA;7
5029;PARANA;459
5029;PERNAMBUCO;33
5029;PIAUI;1
5029;RIO DE JANEIRO;87
5029;RIO GRANDE DO NORTE;6
5029;RIO GRANDE DO SUL;406
5029;RONDONIA;16
5029;RORAIMA;3
5029;SANTA CATARINA;689
5029;SAO PAULO;684
5029;SERGIPE;6
5029;TOCANTINS;1
5037;ACRE;14
5037;ALAGOAS;27
5037;AMAZONAS;66
5037;AMAPA;25
5037;BAHIA;74
5037;CEARA;64
5037;DISTRITO FEDERAL;54
5037;ESPIRITO SANTO;47
5037;GOIAS;53
5037;MARANHAO;54
5037;MATO GROSSO;38
5037;MATO GROSSO DO SUL;56
5037;MINAS GERAIS;804
5037;PARA;26
5037;PARAIBA;20
5037;PARANA;193
5037;PERNAMBUCO;55
5037;PIAUI;32
5037;RIO DE JANEIRO;119
5037;RIO GRANDE DO NORTE;33
5037;RIO GRANDE DO SUL;478
5037;RONDONIA;11
5037;RORAIMA;24
5037;SANTA CATARINA;90
5037;SAO PAULO;884
5037;SERGIPE;19
5037;TOCANTINS;5
5045;ACRE;267
5045;ALAGOAS;76
5045;AMAZONAS;169
5045;AMAPA;207
5045;BAHIA;680
5045;CEARA;511
5045;DISTRITO FEDERAL;673
5045;ESPIRITO SANTO;410
5045;GOIAS;275
5045;MARANHAO;261
5045;MATO GROSSO;360
5045;MATO GROSSO DO SUL;411
5045;MINAS GERAIS;2333
5045;PARA;232
5045;PARAIBA;156
5045;PARANA;848
5045;PERNAMBUCO;526
5045;PIAUI;224
5045;RIO DE JANEIRO;459
5045;RIO GRANDE DO NORTE;137
5045;RIO GRANDE DO SUL;1750
5045;RONDONIA;106
5045;RORAIMA;130
5045;SANTA CATARINA;1506
5045;SAO PAULO;6841
5045;SERGIPE;143
5045;TOCANTINS;61
5053;ACRE;7
5053;ALAGOAS;17
5053;AMAZONAS;29
5053;AMAPA;6
5053;BAHIA;94
5053;CEARA;198
5053;DISTRITO FEDERAL;7
5053;ESPIRITO SANTO;11
5053;GOIAS;40
5053;MARANHAO;4
5053;MATO GROSSO;9
5053;MATO GROSSO DO SUL;19
5053;MINAS GERAIS;180
5053;PARA;28
5053;PARAIBA;18
5053;PARANA;73
5053;PERNAMBUCO;120
5053;PIAUI;24
5053;RIO DE JANEIRO;22
5053;RIO GRANDE DO NORTE;30
5053;RIO GRANDE DO SUL;100
5053;RONDONIA;7
5053;RORAIMA;4
5053;SANTA CATARINA;108
5053;SAO PAULO;270
5053;SERGIPE;9
5053;TOCANTINS;7
5061;ACRE;4
5061;ALAGOAS;38
5061;AMAZONAS;9
5061;AMAPA;2
5061;BAHIA;139
5061;CEARA;43
5061;DISTRITO FEDERAL;19
5061;ESPIRITO SANTO;29
5061;GOIAS;23
5061;MARANHAO;22
5061;MATO GROSSO;31
5061;MATO GROSSO DO SUL;22
5061;MINAS GERAIS;190
5061;PARA;36
5061;PARAIBA;24
5061;PARANA;74
5061;PERNAMBUCO;29
5061;PIAUI;13
5061;RIO DE JANEIRO;26
5061;RIO GRANDE DO NORTE;7
5061;RIO GRANDE DO SUL;78
5061;RONDONIA;6
5061;RORAIMA;15
5061;SANTA CATARINA;119
5061;SAO PAULO;401
5061;SERGIPE;5
5061;TOCANTINS;3
5070;ALAGOAS;1
5070;AMAZONAS;2
5070;CEARA;2
5070;ESPIRITO SANTO;2
5070;MATO GROSSO;1
5070;MATO GROSSO DO SUL;4
5070;MINAS GERAIS;13
5070;PARA;1
5070;PARANA;24
5070;RIO DE JANEIRO;1
5070;RIO GRANDE DO SUL;18
5070;SANTA CATARINA;13
5070;SAO PAULO;24
5088;ALAGOAS;1
5088;CEARA;10
5088;GOIAS;1
5088;MATO GROSSO;1
5088;MATO GROSSO DO SUL;5
5088;MINAS GERAIS;7
5088;PARA;3
5088;PARANA;8
5088;PERNAMBUCO;1
5088;RIO DE JANEIRO;2
5088;RIO GRANDE DO SUL;26
5088;RORAIMA;2
5088;SANTA CATARINA;7
5088;SAO PAULO;13
5096;ACRE;4
5096;ALAGOAS;2
5096;AMAZONAS;2
5096;AMAPA;2
5096;BAHIA;16
5096;CEARA;35
5096;DISTRITO FEDERAL;5
5096;ESPIRITO SANTO;4
5096;GOIAS;3
5096;MARANHAO;4
5096;MATO GROSSO;1
5096;MATO GROSSO DO SUL;9
5096;MINAS GERAIS;22
5096;PARA;9
5096;PARAIBA;9
5096;PARANA;35
5096;PERNAMBUCO;4
5096;PIAUI;4
5096;RIO DE JANEIRO;9
5096;RIO GRANDE DO NORTE;1
5096;RIO GRANDE DO SUL;169
5096;RONDONIA;4
5096;RORAIMA;2
5096;SANTA CATARINA;55
5096;SAO PAULO;147
5096;SERGIPE;2
5096;TOCANTINS;1
5100;AMAZONAS;1
5100;BAHIA;1
5100;CEARA;15
5100;MINAS GERAIS;4
5100;PARAIBA;1
5100;PIAUI;2
5100;RIO GRANDE DO NORTE;2
5100;RIO GRANDE DO SUL;3
5100;RORAIMA;1
5100;SANTA CATARINA;2
5100;SAO PAULO;10
5118;ACRE;183
5118;ALAGOAS;205
5118;AMAZONAS;257
5118;AMAPA;172
5118;BAHIA;458
5118;CEARA;1040
5118;DISTRITO FEDERAL;112
5118;ESPIRITO SANTO;605
5118;GOIAS;111
5118;MARANHAO;102
5118;MATO GROSSO;85
5118;MATO GROSSO DO SUL;551
5118;MINAS GERAIS;1500
5118;PARA;275
5118;PARAIBA;139
5118;PARANA;2137
5118;PERNAMBUCO;375
5118;PIAUI;93
5118;RIO DE JANEIRO;228
5118;RIO GRANDE DO NORTE;99
5118;RIO GRANDE DO SUL;730
5118;RONDONIA;76
5118;RORAIMA;131
5118;SANTA CATARINA;1434
5118;SAO PAULO;3329
5118;SERGIPE;69
5118;TOCANTINS;27
5126;ACRE;1
5126;ALAGOAS;1
5126;AMAZONAS;2
5126;BAHIA;3
5126;CEARA;12
5126;DISTRITO FEDERAL;1
5126;ESPIRITO SANTO;33
5126;GOIAS;1
5126;MATO GROSSO DO SUL;12
5126;MINAS GERAIS;58
5126;PARA;1
5126;PARAIBA;1
5126;PARANA;154
5126;PERNAMBUCO;8
5126;RIO DE JANEIRO;8
5126;RIO GRANDE DO NORTE;1
5126;RIO GRANDE DO SUL;81
5126;RONDONIA;3
5126;SANTA CATARINA;163
5126;SAO PAULO;146
5126;SERGIPE;1
5134;ACRE;3
5134;ALAGOAS;3
5134;AMAZONAS;3
5134;AMAPA;6
5134;BAHIA;18
5134;CEARA;41
5134;DISTRITO FEDERAL;10
5134;ESPIRITO SANTO;21
5134;GOIAS;7
5134;MARANHAO;4
5134;MATO GROSSO;4
5134;MATO GROSSO DO SUL;18
5134;MINAS GERAIS;109
5134;PARA;8
5134;PARAIBA;3
5134;PARANA;59
5134;PERNAMBUCO;8
5134;PIAUI;5
5134;RIO DE JANEIRO;20
5134;RIO GRANDE DO NORTE;10
5134;RIO GRANDE DO SUL;58
5134;RONDONIA;3
5134;RORAIMA;1
5134;SANTA CATARINA;30
5134;SAO PAULO;220
5134;SERGIPE;4
5134;TOCANTINS;1
5142;ACRE;41
5142;ALAGOAS;10
5142;AMAZONAS;5
5142;AMAPA;40
5142;BAHIA;152
5142;CEARA;281
5142;DISTRITO FEDERAL;45
5142;ESPIRITO SANTO;112
5142;GOIAS;37
5142;MARANHAO;15
5142;MATO GROSSO;15
5142;MATO GROSSO DO SUL;95
5142;MINAS GERAIS;274
5142;PARA;29
5142;PARAIBA;31
5142;PARANA;301
5142;PERNAMBUCO;56
5142;PIAUI;16
5142;RIO DE JANEIRO;48
5142;RIO GRANDE DO NORTE;28
5142;RIO GRANDE DO SUL;211
5142;RONDONIA;17
5142;RORAIMA;3
5142;SANTA CATARINA;313
5142;SAO PAULO;1278
5142;SERGIPE;29
5142;TOCANTINS;1
5150;ACRE;1
5150;ALAGOAS;2
5150;AMAPA;1
5150;BAHIA;11
5150;CEARA;103
5150;DISTRITO FEDERAL;1
5150;ESPIRITO SANTO;1
5150;GOIAS;3
5150;MARANHAO;1
5150;MATO GROSSO;1
5150;MATO GROSSO DO SUL;1
5150;MINAS GERAIS;17
5150;PARA;4
5150;PARAIBA;2
5150;PARANA;12
5150;PERNAMBUCO;8
5150;PIAUI;5
5150;RIO DE JANEIRO;5
5150;RIO GRANDE DO NORTE;5
5150;RIO GRANDE DO SUL;28
5150;SANTA CATARINA;16
5150;SAO PAULO;41
5150;SERGIPE;2
5169;ACRE;105
5169;ALAGOAS;56
5169;AMAZONAS;67
5169;AMAPA;65
5169;BAHIA;96
5169;CEARA;34
5169;DISTRITO FEDERAL;485
5169;ESPIRITO SANTO;116
5169;GOIAS;143
5169;MARANHAO;245
5169;MATO GROSSO;561
5169;MATO GROSSO DO SUL;168
5169;MINAS GERAIS;2958
5169;PARA;316
5169;PARAIBA;48
5169;PARANA;645
5169;PERNAMBUCO;179
5169;PIAUI;83
5169;RIO DE JANEIRO;89
5169;RIO GRANDE DO NORTE;154
5169;RIO GRANDE DO SUL;268
5169;RONDONIA;89
5169;RORAIMA;9
5169;SANTA CATARINA;261
5169;SAO PAULO;1387
5169;SERGIPE;38
5169;TOCANTINS;33
5177;ACRE;18
5177;AMAZONAS;1
5177;BAHIA;6
5177;CEARA;3
5177;DISTRITO FEDERAL;1
5177;GOIAS;4
5177;MARANHAO;3
5177;MATO GROSSO;6
5177;MATO GROSSO DO SUL;8
5177;MINAS GERAIS;92
5177;PARA;7
5177;PARANA;28
5177;RIO DE JANEIRO;1
5177;RIO GRANDE DO SUL;16
5177;RONDONIA;1
5177;SANTA CATARINA;3
5177;SAO PAULO;35
5177;SERGIPE;1
5177;TOCANTINS;1
5185;ACRE;169
5185;ALAGOAS;1037
5185;AMAZONAS;5408
5185;AMAPA;473
5185;BAHIA;5992
5185;CEARA;4297
5185;DISTRITO FEDERAL;4542
5185;ESPIRITO SANTO;2465
5185;GOIAS;3788
5185;MARANHAO;2123
5185;MATO GROSSO;4600
5185;MATO GROSSO DO SUL;4029
5185;MINAS GERAIS;18436
5185;PARA;2115
5185;PARAIBA;2631
5185;PARANA;16306
5185;PERNAMBUCO;3375
5185;PIAUI;7698
5185;RIO DE JANEIRO;10154
5185;RIO GRANDE DO NORTE;1030
5185;RIO GRANDE DO SUL;7150
5185;RONDONIA;760
5185;RORAIMA;4929
5185;SANTA CATARINA;14825
5185;SAO PAULO;98175
5185;SERGIPE;2570
5185;TOCANTINS;447
5193;ACRE;16
5193;ALAGOAS;71
5193;AMAZONAS;188
5193;AMAPA;34
5193;BAHIA;387
5193;CEARA;288
5193;DISTRITO FEDERAL;172
5193;ESPIRITO SANTO;197
5193;GOIAS;129
5193;MARANHAO;182
5193;MATO GROSSO;491
5193;MATO GROSSO DO SUL;227
5193;MINAS GERAIS;1132
5193;PARA;235
5193;PARAIBA;104
5193;PARANA;1631
5193;PERNAMBUCO;239
5193;PIAUI;175
5193;RIO DE JANEIRO;235
5193;RIO GRANDE DO NORTE;80
5193;RIO GRANDE DO SUL;541
5193;RONDONIA;77
5193;RORAIMA;140
5193;SANTA CATARINA;797
5193;SAO PAULO;4010
5193;SERGIPE;81
5193;TOCANTINS;35
5207;ACRE;42
5207;ALAGOAS;158
5207;AMAZONAS;93
5207;AMAPA;8
5207;BAHIA;343
5207;CEARA;150
5207;DISTRITO FEDERAL;169
5207;ESPIRITO SANTO;134
5207;GOIAS;72
5207;MARANHAO;104
5207;MATO GROSSO;102
5207;MATO GROSSO DO SUL;90
5207;MINAS GERAIS;806
5207;PARA;56
5207;PARAIBA;72
5207;PARANA;406
5207;PERNAMBUCO;185
5207;PIAUI;50
5207;RIO DE JANEIRO;262
5207;RIO GRANDE DO NORTE;87
5207;RIO GRANDE DO SUL;345
5207;RONDONIA;55
5207;RORAIMA;748
5207;SANTA CATARINA;662
5207;SAO PAULO;3890
5207;SERGIPE;117
5207;TOCANTINS;11
5215;ACRE;14
5215;ALAGOAS;19
5215;AMAZONAS;54
5215;AMAPA;5
5215;BAHIA;159
5215;CEARA;41
5215;DISTRITO FEDERAL;88
5215;ESPIRITO SANTO;28
5215;GOIAS;20
5215;MARANHAO;38
5215;MATO GROSSO;30
5215;MATO GROSSO DO SUL;19
5215;MINAS GERAIS;346
5215;PARA;62
5215;PARAIBA;34
5215;PARANA;136
5215;PERNAMBUCO;41
5215;PIAUI;18
5215;RIO DE JANEIRO;364
5215;RIO GRANDE DO NORTE;18
5215;RIO GRANDE DO SUL;40
5215;RONDONIA;7
5215;RORAIMA;1
5215;SANTA CATARINA;103
5215;SAO PAULO;1134
5215;SERGIPE;20
5215;TOCANTINS;4
5223;ACRE;1
