UF;Cod_Infração;Quantidade
ACRE;5002;78
ACRE;5010;629
ACRE;5029;7
ACRE;5037;20
ACRE;5045;392
ACRE;5053;3
ACRE;5061;17
ACRE;5070;1
ACRE;5088;1
ACRE;5096;8
ACRE;5118;279
ACRE;5126;2
ACRE;5134;5
ACRE;5142;70
ACRE;5169;205
ACRE;5177;34
ACRE;5185;403
ACRE;5193;44
ACRE;5207;82
ACRE;5215;29
ACRE;5223;1
ACRE;5231;3
ACRE;5258;1
ACRE;5266;2
ACRE;5274;58
ACRE;5282;5
ACRE;5371;1
ACRE;5380;49
ACRE;5398;2
ACRE;5401;24
ACRE;5410;4
ACRE;5428;3
ACRE;5444;12
ACRE;5452;409
ACRE;5460;73
ACRE;5479;35
ACRE;5487;97
ACRE;5509;65
ACRE;5517;2
ACRE;5525;76
ACRE;5541;697
ACRE;5550;739
ACRE;5568;210
ACRE;5576;3
ACRE;5584;1
ACRE;5592;3
ACRE;5614;2
ACRE;5622;63
ACRE;5630;1
ACRE;5657;3
ACRE;5665;5
ACRE;5673;15
ACRE;5681;3
ACRE;5703;23
ACRE;5711;8
ACRE;5720;77
ACRE;5738;169
ACRE;5746;60
ACRE;5770;5
ACRE;5797;2
ACRE;5800;6
ACRE;5819;185
ACRE;5827;1
ACRE;5835;120
ACRE;5843;17
ACRE;5851;1
ACRE;5860;2
ACRE;5878;6
ACRE;5908;1
ACRE;5916;2
ACRE;5924;2
ACRE;5959;30
ACRE;5967;47
ACRE;5975;1
ACRE;5991;31
ACRE;6009;2
ACRE;6017;33
ACRE;6025;1
ACRE;6041;184
ACRE;6050;1040
ACRE;6068;25
ACRE;6076;15
ACRE;6084;1
ACRE;6122;17
ACRE;6130;1
ACRE;6173;4
ACRE;6190;1
ACRE;6270;1
ACRE;6297;7
ACRE;6394;1
ACRE;6408;27
ACRE;6416;1
ACRE;6432;2
ACRE;6483;1
ACRE;6491;6
ACRE;6530;13
ACRE;6556;16
ACRE;6564;28
ACRE;6572;1
ACRE;6580;37
ACRE;6599;825
ACRE;6602;25
ACRE;6610;10
ACRE;6637;120
ACRE;6645;35
ACRE;6653;96
ACRE;6661;12
ACRE;6670;167
ACRE;6688;1
ACRE;6700;62
ACRE;6726;172
ACRE;6769;61
ACRE;6785;2
ACRE;6807;6
ACRE;6823;10
ACRE;6831;115
ACRE;6840;13
ACRE;6858;53
ACRE;6866;63
ACRE;6882;8
ACRE;6890;3
ACRE;6904;10
ACRE;6912;12
ACRE;6920;2
ACRE;6947;4
ACRE;6963;4
ACRE;6971;6
ACRE;6980;1
ACRE;7030;67
ACRE;7048;51
ACRE;7056;15
ACRE;7072;30
ACRE;7080;1
ACRE;7099;4
ACRE;7102;1
ACRE;7218;1
ACRE;7234;5
ACRE;7242;1
ACRE;7269;2
ACRE;7285;1
ACRE;7315;2
ACRE;7323;2
ACRE;7331;1
ACRE;7340;279
ACRE;7358;4
ACRE;7366;80
ACRE;7374;2
ACRE;7455;1252
ACRE;7463;275
ACRE;7471;64
ACRE;7560;6
ACRE;7579;28
ACRE;7587;35
ACRE;7617;2
ACRE;7625;125
ACRE;7633;611
ACRE;7641;1
ACRE;7670;1
ACRE;7684;50
ACRE;7714;6
ACRE;7722;9
ACRE;7730;6
ACRE;7749;1
ALAGOAS;5002;114
ALAGOAS;5010;698
ALAGOAS;5029;5
ALAGOAS;5037;34
ALAGOAS;5045;111
ALAGOAS;5053;28
ALAGOAS;5061;26
ALAGOAS;5088;1
ALAGOAS;5096;4
ALAGOAS;5118;173
ALAGOAS;5134;5
ALAGOAS;5142;6
ALAGOAS;5150;4
ALAGOAS;5169;45
ALAGOAS;5185;1337
ALAGOAS;5193;121
ALAGOAS;5207;154
ALAGOAS;5215;47
ALAGOAS;5223;1
ALAGOAS;5231;5
ALAGOAS;5240;2
ALAGOAS;5258;3
ALAGOAS;5266;1
ALAGOAS;5274;51
ALAGOAS;5304;1
ALAGOAS;5347;1
ALAGOAS;5371;2
ALAGOAS;5380;126
ALAGOAS;5398;2
ALAGOAS;5401;20
ALAGOAS;5410;25
ALAGOAS;5428;21
ALAGOAS;5444;67
ALAGOAS;5452;458
ALAGOAS;5460;39
ALAGOAS;5479;54
ALAGOAS;5487;49
ALAGOAS;5495;1
ALAGOAS;5509;43
ALAGOAS;5517;1
ALAGOAS;5525;55
ALAGOAS;5541;429
ALAGOAS;5550;786
ALAGOAS;5568;277
ALAGOAS;5576;5
ALAGOAS;5584;1
ALAGOAS;5592;15
ALAGOAS;5606;2
ALAGOAS;5614;10
ALAGOAS;5622;37
ALAGOAS;5630;51
ALAGOAS;5649;1
ALAGOAS;5657;2
ALAGOAS;5665;599
ALAGOAS;5673;162
ALAGOAS;5681;287
ALAGOAS;5690;1
ALAGOAS;5703;46
ALAGOAS;5711;5
ALAGOAS;5720;56
ALAGOAS;5738;384
ALAGOAS;5746;206
ALAGOAS;5762;1
ALAGOAS;5770;20
ALAGOAS;5789;1
ALAGOAS;5797;20
ALAGOAS;5800;2
ALAGOAS;5819;240
ALAGOAS;5827;6
ALAGOAS;5835;276
ALAGOAS;5843;65
ALAGOAS;5851;16
ALAGOAS;5860;5
ALAGOAS;5878;3
ALAGOAS;5908;26
ALAGOAS;5916;1
ALAGOAS;5924;5
ALAGOAS;5932;12
ALAGOAS;5940;15
ALAGOAS;5959;3
ALAGOAS;5967;238
ALAGOAS;5975;57
ALAGOAS;5991;57
ALAGOAS;6009;4
ALAGOAS;6017;95
ALAGOAS;6025;3
ALAGOAS;6033;3
ALAGOAS;6041;1209
ALAGOAS;6050;1857
ALAGOAS;6068;115
ALAGOAS;6076;21
ALAGOAS;6084;17
ALAGOAS;6122;96
ALAGOAS;6130;14
ALAGOAS;6149;1
ALAGOAS;6165;1
ALAGOAS;6173;6
ALAGOAS;6181;2
ALAGOAS;6190;1
ALAGOAS;6270;60
ALAGOAS;6335;1
ALAGOAS;6378;1
ALAGOAS;6408;28
ALAGOAS;6483;2
ALAGOAS;6491;5
ALAGOAS;6521;1
ALAGOAS;6530;12
ALAGOAS;6548;1
ALAGOAS;6556;16
ALAGOAS;6564;38
ALAGOAS;6572;1
ALAGOAS;6580;32
